sheet,rowNumber,catalogTitle,matchType,firebaseId,firebaseTitle,regularPrice,salePrice,compareAtPrice,inventoryQuantity,available,beforeAfter
"Master Catalog","45","Echeveria Pink Border &#8212; Soft Pink Edged Pale Green Rosette Succulent","missing","","","200","139","200","","true",""
"Master Catalog","46","Jade Plant (Crassula ovata) &#8212; Lucky Vastu Money Plant","missing","","","60","39","60","","true",""
"Master Catalog","47","Panda Plant (Kalanchoe tomentosa) &#8212; Fuzzy Silver Velvet Leaf Succulent","missing","","","159","99","159","","true",""
"Master Catalog","48","Echeveria Hookeri &#8212; Graceful Large Green Rare Species Rosette","missing","","","230","140","230","","true",""
"Master Catalog","49","Echeveria Elegans &#8212; Mexican Snowball Classic Pastel Beginner Rosette","missing","","","199","129","199","","true",""
"Master Catalog","50","Flapjack Paddle Plant (Kalanchoe thyrsiflora) &#8212; Red Edge Succulent","missing","","","159","99","159","","true",""
"Master Catalog","51","Burro's Tail (Sedum morganianum) &#8212; Long Cascading Trailing Succulent","missing","","","159","99","159","","true",""
"Master Catalog","52","Crown Cactus (Rebutia) &#8212; Orange Blooming Cluster Cactus","missing","","","199","129","199","","true",""
"Master Catalog","53","Hens and Chicks (Sempervivum tectorum) &#8212; Hardy Clustering Rosette","missing","","","130","89","130","","true",""
"Master Catalog","54","Echeveria Colorata 'Blue Prince' &#8212; Steel Blue Farina Rosette","missing","","","149","99","149","","false",""
"Master Catalog","55","Pachyphytum oviferum &#8212; Pearl White Egg Leaf Rare Succulent","missing","","","139","79","139","","true",""
"Master Catalog","56","Bergeranthus Concavus &#8212; Rare South African Clustering Succulent","missing","","","209","119","209","","true",""
"Master Catalog","57","Green Campfire Crassula &#8212; Stacked Green Leaf Succulent","missing","","","79","49","79","","true",""
"Master Catalog","58","Echinopsis subdenudata &#8212; Giromagi White Flowering Cactus","missing","","","159","99","159","","true",""
"Master Catalog","59","Pink Moonstone (Pachyphytum oviferum) &#8212; Pearl Pink Egg Leaf Rare Succulent","missing","","","199","149","199","","true",""
"Master Catalog","60","Haworthia Herbacea _ - Best Low Light Succulent","title","haworthia-herbacea","Haworthia Herbacea _- Best Low Light Succulent","119","79","119","","true","{""before"":{""price"":79,""compareAtPrice"":119,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":79,""compareAtPrice"":119,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","61","Haworthia attenuata - Best Low Light Succulent","title","haworthia-attenuata","Haworthia attenuata -  Best Low Light Succulent","179","129","179","","false","{""before"":{""price"":129,""compareAtPrice"":179,""available"":false,""availability"":null,""status"":""sold out""},""after"":{""price"":129,""compareAtPrice"":179,""available"":false,""availability"":""OutOfStock"",""status"":""sold out""}}"
"Master Catalog","62","Sedum Pachyphyllum &#8212; Jelly Bean Red Tip Trailing Stonecrop","missing","","","110","69","110","","true",""
"Master Catalog","63","Donkey Tail (Sedum burrito) &#8212; Compact Indoor Hanging Succulent","missing","","","149","99","149","","false",""
"Master Catalog","64","Echeveria 'Blue Surprise' &#8212; Lavender Blue Premium Rosette Succulent","missing","","","329","199","329","","false",""
"Master Catalog","65","Senecio 'Lime Chalkstick' &#8212; Bright Lime Green Finger Succulent","missing","","","130","89","130","","true",""
"Master Catalog","66","Sedum Adolphii 'Lime Gold' &#8212; Yellow Orange Golden Glow Stonecrop","missing","","","109","69","109","","true",""
"Master Catalog","67","Thimble Cactus (Mammillaria gracilis) &#8212; White Ball Clustering Cactus","missing","","","179","119","179","","true",""
"Master Catalog","68","Haworthiopsis Attenuata &#8212; Zebra Haworthia Low Light Succulent","missing","","","170","99","170","","true",""
"Master Catalog","69","Mammillaria Prolifera &#8212; Silver Lace Flowering Cluster Cactus","missing","","","199","129","199","","true",""
"Master Catalog","70","Graptoveria Lovely Rose &#8212; Pink Lavender Hybrid Rosette","missing","","","190","129","190","","true",""
"Master Catalog","71","Aeonium Haworthii &#8212; Pinwheel Blue Green Variegated Rosette","missing","","","120","69","120","","true",""
"Master Catalog","72","Bunny Ear Yellow Cactus (Opuntia microdasys) &#8212; Golden Yellow Polka Dot Cactus","missing","","","120","79","120","","true",""
"Master Catalog","73","Echeveria Lilacina &#8212; Ghost Echeveria Silver White Porcelain Rosette","missing","","","150","99","150","","true",""
"Master Catalog","74","Echeveria Onslow &#8212; Pink Tipped Pale Green Compact Rosette Succulent","missing","","","170","119","170","","true",""
"Master Catalog","75","Vishnu Kamal (Sempervivum) &#8212; Sacred Vastu Rosette Succulent","missing","","","219","139","219","","true",""
"Master Catalog","76","String of Tears (Senecio herreianus) &#8212; Teardrop Trailing Succulent","missing","","","79","39","79","","true",""
"Master Catalog","77","Jelly Bean Succulent (Sedum rubrotinctum) &#8212; Red Tip Plump Stonecrop","missing","","","109","69","109","","true",""
"Master Catalog","78","String of Pearls (Senecio rowleyanus) &#8212; Cascading Trailing Succulent","missing","","","90","59","90","","true",""
"Master Catalog","79","Graptopetalum Amethystinum &#8212; Lavender Jewel Pebble Rare Succulent","missing","","","109","59","109","","true",""
"Master Catalog","80","Haworthia Cymbiformis Pallida &#8212; Translucent Window Leaf Succulent","missing","","","150","89","150","","true",""
"Master Catalog","81","Echeveria 'Starlite' &#8212; Glowing White Silver Premium Rosette","missing","","","169","99","169","","true",""
"Master Catalog","82","Variegated Jade Plant (Crassula ovata) &#8212; Lucky Cream Green Money Plant","missing","","","220","129","220","","true",""
"Master Catalog","83","Textured Matt Ceramic Round Succulent Planter Pot, Matt Beige, 11.5 x 8 cm, Indoor Decor","title","textured-matt-ceramic-round-succulent-planter-pot-matt-beige-11-5-x-8-cm-indoor-decor","Textured Matt Ceramic Round Succulent Planter Pot, Matt Beige, 11.5 x 8 cm, Indoor Decor","469","300","469","","true","{""before"":{""price"":300,""compareAtPrice"":469,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":300,""compareAtPrice"":469,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","84","Crassula Perforata Variegata &#8212; Cream Green String of Buttons","missing","","","190","129","190","","true",""
"Master Catalog","85","Baby Sunrose (Aptenia cordifolia) &#8212; Flowering Ground Cover Succulent","missing","","","79","39","79","","true",""
"Master Catalog","86","Combo 5 - The Prosperity Bundle","title","combo-5-the-prosperity-bundle","Combo 5 - The Prosperity Bundle","389","389","389","","true","{""before"":{""price"":389,""compareAtPrice"":0,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":389,""compareAtPrice"":389,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","87","English Ivy (Hedera helix) &#8212; Air Purifying Trailing Indoor Vine","missing","","","70","49","70","","false",""
"Master Catalog","88","Echeveria subsessilis &#8212; The Morning Beauty Blue Rosette Succulent","missing","","","199","129","199","","true",""
"Master Catalog","89","Zebra Haworthia (Haworthiopsis attenuata) &#8212; Best Low Light Succulent","missing","","","150","89","150","","true",""
"Master Catalog","90","Laxmi Kamal (Sempervivum calcareum) &#8212; Sacred Vastu Rosette Succulent","missing","","","79","39","79","","true",""
"Master Catalog","91","Gollum Jade (Crassula ovata) &#8212; Vastu Trumpet Leaf Lucky Succulent","missing","","","79","39","79","","true",""
"Master Catalog","92","Aeonium Castello-Paivae &#8212; Dwarf Variegated Branching Rosette Succulent","missing","","","129","75","129","","true",""
"Master Catalog","93","Crassula Swaziensis &#8212; Compact Red Edge Green Branching Succulent","missing","","","60","39","60","","true",""
"Master Catalog","94","Kalanchoe Millotii &#8212; Soft Silver Velvety Scalloped Leaf Succulent","missing","","","109","69","109","","true",""
"Master Catalog","95","Echeveria 'Red Hole' &#8212; Bold Red Edged Dramatic Rosette","missing","","","310","199","310","","false",""
"Master Catalog","96","Gasteraloe Limpopo &#8212; Rare Hardy Low Light Hybrid Succulent","missing","","","170","99","170","","true",""
"Master Catalog","97","Aeonium Arboreum &#8212; Dark Burgundy Tree Rosette Succulent","missing","","","170","119","170","","true",""
"Master Catalog","98","Pachyveria Scheideckeri &#8212; Pastel Pink Thick Leaf Hybrid Rosette","missing","","","160","109","160","","true",""
"Master Catalog","99","Echeveria 'Topsy Turvy' (Runyonii) &#8212; Curled Sculptural Rosette","missing","","","150","89","150","","true",""
"Master Catalog","100","Echeveria Purpusorum &#8212; Spotted Geometric Collector Rosette","missing","","","190","129","190","","true",""
"Master Catalog","101","Echeveria 'Cubic Frost' &#8212; Ruffled Purple Lavender Rosette","missing","","","140","99","140","","true",""
"Master Catalog","102","Mammillaria &#8212; Pincushion Flowering Globe Cactus","missing","","","180","119","180","","true",""
"Master Catalog","103","Crassula Baby Necklace &#8212; Stacked Round Leaf Trailing Succulent","missing","","","149","99","149","","true",""
"Master Catalog","104","Aeonium Kiwi &#8212; Tricolor Pink Green Yellow Rosette","missing","","","150","99","150","","true",""
"Master Catalog","105","Kalanchoe Blossfeldiana &#8212; Flowering Indoor Succulent","missing","","","109","69","109","","true",""
"Master Catalog","106","Echeveria Amoena &#8212; Compact Clustering Blue Pink Rosette Succulent","missing","","","209","139","209","","true",""
"Master Catalog","107","Blue Chalksticks (Senecio serpens) &#8212; Powdery Blue Finger Succulent","missing","","","90","59","90","","true",""
"Master Catalog","108","Moon Fairy (Echeveria colorata) &#8212; Silver Frosted Large Rosette","missing","","","159","99","159","","true",""
"Master Catalog","109","Echeveria Pallida Variegated &#8212; Pink Edge Cream Variegated Rosette","missing","","","219","129","219","","true",""
"Master Catalog","110","Echeveria Blue Bird &#8212; Powder Blue Pink Edge Large Rosette","missing","","","149","99","149","","false",""
"Master Catalog","111","Peanut Cactus (Echinopsis chamaecereus) &#8212; Orange Blooming Cactus","missing","","","120","79","120","","true",""
"Master Catalog","112","Lace Aloe (Aristaloe aristata) &#8212; Low Light Compact Flowering Aloe","missing","","","159","99","159","","true",""
"Master Catalog","113","Chinese Dunce Cap (Orostachys iwarenge) &#8212; Rare Conical Succulent","missing","","","139","79","139","","true",""
"Master Catalog","114","Chocolate Sedum (Sedum spathulifolium) &#8212; Burgundy Rosette Succulent","missing","","","79","49","79","","true",""
"Master Catalog","115","Red Pagoda (Crassula capitella) &#8212; Geometric Stacking Succulent","missing","","","119","79","119","","true",""
"Master Catalog","116","Variegated Baby Sunrose &#8212; Cream Green Flowering Trailer","missing","","","89","49","89","","true",""
"Master Catalog","117","Pink Wandering Jew (Tradescantia) &#8212; Blush Pink Trailing Succulent","missing","","","119","79","119","","true",""
"Master Catalog","118","Purple Wandering Jew (Tradescantia pallida) &#8212; Deep Purple Trailer","missing","","","209","139","209","","false",""
"Master Catalog","119","Combo 2 - Cactus","title","combo-2-cactus","Combo 2 - Cactus","389","389","389","","true","{""before"":{""price"":389,""compareAtPrice"":0,""available"":true,""availability"":null,""status"":""active""},""after"":{""price"":389,""compareAtPrice"":389,""available"":true,""availability"":""InStock"",""status"":""active""}}"
"Master Catalog","120","Crassula Perforata &#8212; String of Buttons Stacked Geometric Succulent","missing","","","129","79","129","","true",""
"Master Catalog","121","Austrocephalocereus Dybowskii &#8212; Silver White Hair Column Cactus","missing","","","209","139","209","","true",""
"Master Catalog","122","Golden Moss &#8212; Aromatic Kitchen Herb and Mosquito Repellent Plant","missing","","","89","59","89","","false",""
"Master Catalog","123","Crassula Sarmentosa &#8212; Fast Trailing Red Edge Balcony Jade Succulent","missing","","","110","69","110","","true",""
"Master Catalog","124","Pachyphytum Compactum &#8212; Rare Faceted Jewel Geometric Leaf Succulent","missing","","","119","45","119","","true",""
"Master Catalog","125","Orbea Semota &#8212; Exotic Star Flower Blooming Succulent","missing","","","139","89","139","","true",""
