
================= bg (101 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
 242  0.04   38  38  94  #f6f2eb   x1    reviews/OrderProductReviewBox.tsx
 243  0.04  113  33  95  #eef6ed   x5    admin/AdminArticleEditor.tsx
 243  0.02   40  23  95  #f5f3ef   x1    auth/SucculentAuthLoader.tsx
 244  0.03  129  30  95  #f0f7f1   x1    admin/AdminArticleEditor.tsx
 244  0.13   39 100  93  #fff3dd   x1    cart/CartClient.tsx
 245  0.01  100  14  96  #f4f6f3   x1    admin/AdminBlogAutomation.tsx
 245  0.04  120  45  96  #eff9ef   x1    admin/AdminDashboard.tsx
 247  0.04   40  47  96  #faf7f1   x1    [order]/page.tsx
 247  0.02  105  22  96  #f5f8f4   x8    admin/AdminArticleEditor.tsx
 247  0.04    6  71  97  #fdf4f3   x3    admin/AdminAutomationSection.tsx
 248  0.02   90  25  97  #f7f9f5   x2    admin/AdminDashboard.tsx
 248  0.09   42 100  95  #fff8e8   x1    cart/CartClient.tsx
 249  0.03   15  67  98  #fdf7f5   x2    admin/AdminAutomationSection.tsx
 249  0.02  105  29  97  #f7faf6   x1    admin/AdminDashboard.tsx
 249  0.02   96  33  97  #f7faf5   x1    auth/SucculentAuthLoader.tsx
 250  0.01   90  20  98  #fafbf9   x10   admin/AdminArticleEditor.tsx
 250  0.02  105  33  98  #f8fbf7   x9    admin/AdminAutomationSection.tsx

================= text (120 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
  18  0.2   210  11   7  #101214   x1    product/ProductFaqs.tsx
  24  0.56  221  39  11  #111827   x2    product/ProductFaqs.tsx
  32  0.33  105  20  12  #1b2418   x1    home/HeroSection.tsx
  35  0.18  146  10  14  #1f2622   x1    combo/ComboBuilder.tsx
  37  0.33  107  20  14  #1f2a1c   x2    home/HeroSection.tsx
  39  0.28  145  16  15  #1f2b24   x4    privacy-policy/page.tsx
  39  1     348 100  24  #7a0019   x3    wishlist/WishlistButton.tsx
  42  1     345 100  25  #800020   x2    layout/Header.tsx
  43  0.45  151  29  15  #1c3328   x6    admin/AdminAutomationSection.tsx
  43  0.35  148  21  16  #203128   x2    auth/LoginForm.tsx
  44  0.27  143  15  17  #243129   x9    admin/AdminAutomationSection.tsx
  44  0.31  152  18  16  #22312a   x1    checkout/CheckoutClient.tsx
  45  0.4   149  25  17  #20352a   x1    combo/page.tsx
  45  0.11  132   6  17  #2a2f2b   x1    home/ComboTeaserBanner.tsx
  46  0.35  150  21  17  #22342b   x1    auth/OrdersListClient.tsx
  47  0.3   150  18  18  #25352d   x4    order-placed/OrderPlacedStatusCard.tsx
  47  0.3   146  18  18  #25352c   x9    shipping-returns/page.tsx
  47  0.62  156  45  16  #173c2d   x8    admin/AdminArticleEditor.tsx
  47  0.37  150  23  17  #22362c   x1    reviews/ProductReviewsSection.tsx
  48  0.35  148  21  18  #24372d   x14   [order]/page.tsx
  49  0.31  145  18  18  #26372d   x29   privacy-policy/page.tsx
  50  0.32  150  19  18  #26382f   x4    [handle]/page.tsx
  55  0.26  135  15  21  #2d3d31   x1    cart/CartClient.tsx
  55  0.58  155  41  19  #1d4534   x1    home/CashbackStrip.tsx
  56  0.32  147  19  21  #2b3f34   x1    auth/OrdersListClient.tsx
  57  0.28  147  16  22  #2e4036   x1    order-placed/OrderPlacedStatusCard.tsx
  58  0.3   101  17  21  #33402d   x1    home/HeroSection.tsx
  59  0.58  151  41  21  #1f4a35   x4    admin/AdminAutomationSection.tsx
  59  0.28  150  16  22  #2f4138   x1    checkout/CheckoutClient.tsx
  59  0.15   33   8  23  #3e3a35   x1    home/ComboTeaserBanner.tsx
  60  0.31  146  18  23  #2f4438   x8    [order]/page.tsx
  60  0.28  145  17  23  #304338   x8    [handle]/page.tsx
  60  0.61  151  43  21  #1e4c36   x1    admin/AdminDashboard.tsx
  60  0.3   147  18  22  #2f4338   x1    auth/OrdersListClient.tsx
